year,state,deadout,cc_syn,pesticides,lbs_of_honey,count_colonies,extreme_temp_days
2019,ALABAMA,2300,430,5.4,44000,6166,16
2019,ARIZONA,11500,5670,50.900000000000006,201000,27333,24
2019,ARKANSAS,10200,1870,113.6,176000,22333,51
2019,CALIFORNIA,464000,44500,39.6,3216000,830000,0
2019,COLORADO,17820,4600,25.5,500000,21666,136
2019,FLORIDA,96000,19900,52.8,830000,260000,0
2019,GEORGIA,47500,21800,44.5,370000,118333,10
2019,HAWAII,1890,140,1.7,51000,16833,0
2019,IDAHO,38500,8100,29.6,677000,112666,131
2019,ILLINOIS,4940,1010,6.6,116000,11833,133
2019,INDIANA,3010,610,35.300000000000004,198000,12500,115
2019,IOWA,12500,2120,51.8,1170000,23166,147
2019,KANSAS,4050,870,79.5,171000,5600,112
2019,KENTUCKY,2150,380,15.8,44000,6733,68
2019,LOUISIANA,9900,2270,58.0,428000,44000,4
2019,MAINE,2340,120,2.5,110000,10000,158
2019,MICHIGAN,24000,7700,15.8,1363000,67333,144
2019,MINNESOTA,38700,5600,19.5,3063000,80000,174
2019,MISSISSIPPI,8700,1240,87.7,141000,23333,27
2019,MISSOURI,3100,530,1.4000000000000001,73000,9333,95
2019,MONTANA,29000,2920,7.699999999999999,5802000,85000,168
2019,NEBRASKA,8900,2610,7.1,223000,30166,138
2019,NEW JERSEY,1210,300,0.2,155000,12500,93
2019,NEW YORK,21900,4910,18.599999999999998,1027000,51333,130
2019,NORTH CAROLINA,7600,1010,7.1,118000,16666,35
2019,NORTH DAKOTA,109100,10500,19.2,6422000,347333,183
2019,OHIO,7800,2700,3.5000000000000004,442000,16333,115
2019,OREGON,30500,5370,17.099999999999998,1141000,95666,62
2019,PENNSYLVANIA,7680,1720,12.2,409000,18333,111
2019,SOUTH CAROLINA,4790,290,21.4,45000,13000,13
2019,SOUTH DAKOTA,59600,4900,22.1,7582000,154166,166
2019,TENNESSEE,7300,850,43.6,91000,10333,32
2019,TEXAS,45500,8400,24.700000000000003,1814000,171666,13
2019,UTAH,9000,6150,10.5,89000,20833,111
2019,VERMONT,570,50,0.8,84000,6833,149
2019,VIRGINIA,2870,440,1.6,49000,7500,46
2019,WASHINGTON,40500,17000,24.5,1191000,75000,121
2019,WEST VIRGINIA,3900,1690,3.3000000000000003,47000,7500,99
2019,WISCONSIN,18700,4520,33.300000000000004,692000,41833,158
2019,WYOMING,6550,3580,2.2,306000,19166,172
